"SubjectTag","SurveyYear","Age","Gender","Value","DV","ZGenderAge"
655400,1981,23,2,0.17318,-0.9416731611811,-0.700386108722337
655500,1981,16,2,0.43405,-0.166072367121556,0.0171184402248774
655600,1981,22,2,0.92834,1.46353881763415,1.74063773378713
655700,1981,23,1,0.73132,0.616810083817704,0.712752674305848
655800,1981,24,1,0.76276,0.715208852105693,0.697802566110712
655900,1981,23,1,0.88278,1.1889991535913,1.25649319840196
656000,1981,24,1,0.81872,0.910497878600065,0.877906293013238
656100,1981,24,1,0.88542,1.20252548057081,1.14722638957716
656200,1981,23,1,0.86473,1.10181984741461,1.17364834145702
656300,NA,NA,NA,NA,NA,NA
656400,1981,23,2,0.68507,0.481923910249605,0.68539420332583
656500,1981,23,2,0.86838,1.11876595350702,1.30531902836339
656600,1981,24,2,0.80895,0.87403351903099,1.08682474249998
656700,1981,23,2,0.49315,-0.0171712474726016,0.199557123937264
656800,1981,23,2,0.75613,0.693907850541435,0.891746953568272
656900,1981,22,1,0.90632,1.31842923368131,1.44352183908767
657000,1981,24,1,0.80216,0.849361804290943,0.8215240424131
657100,1981,23,2,0.75776,0.699115264151669,0.896816036248037
657200,1981,23,2,0.58898,0.224921941176407,0.435219293552151
657300,1981,16,1,0.3128,-0.487929186999183,-0.119813638999432
657400,1981,23,1,0.06144,-1.54279715496368,-1.33948151521018
657500,NA,NA,NA,NA,NA,NA
657600,1981,17,1,0.3742,-0.320749806087053,-0.0216719049661777
657700,1981,20,1,0.12481,-1.15127285720547,-0.783787916673251
657800,1981,21,2,0.01864,-2.08268440360304,-1.8857256682061
657900,1981,16,2,0.24493,-0.690531512398893,-0.521751720775754
658000,1981,18,2,0.68239,0.474392556557479,0.859684782400906
658100,1981,19,1,0.02564,-1.94912917772944,-1.49608634450082
658200,1981,17,1,0.35011,-0.385023506353499,-0.0825053013379183
658300,1981,19,1,0.10242,-1.2678822604857,-0.86105812300778
658400,1981,17,1,0.0317,-1.8563758816774,-1.47510230259239
658500,1981,22,1,0.10153,-1.27288176748964,-1.12499882268444
658600,1981,17,2,0.15742,-1.00511806991554,-0.744705156145641
658700,NA,NA,NA,NA,NA,NA
658800,1981,22,1,0.11353,-1.20796688568164,-1.06065486122826
658900,1981,20,1,0.15063,-1.03373514123301,-0.671795053691588
659000,1981,20,2,0.02999,-1.88094059662184,-1.61537978939721
659100,1981,19,2,0.0244,-1.97033490997019,-1.69798323669426
659200,1981,17,2,0.16709,-0.965728608850139,-0.703511902876424
659300,1981,17,1,0.12566,-1.14714910978192,-0.803837490494878
659400,1981,18,1,0.16794,-0.962337694528826,-0.610411822054787
659500,1981,23,1,0.32342,-0.45815651317935,-0.308767888937815
659600,1981,20,1,0.36067,-0.356668486523605,-0.0266690831640536
659700,1981,19,1,0.92713,1.45474452922873,1.67685405581986
659800,1981,17,1,0.1715,-0.948254319426888,-0.615588711168588
659900,1981,18,2,0.02537,-1.95367216638649,-1.71850536994813
660000,1981,23,1,0.22123,-0.768045758720726,-0.603249817523218
660100,1981,21,1,0.20812,-0.812961730419884,-0.62683898350187
660200,1981,17,2,0.16096,-0.990520037826332,-0.729438625027468
660300,1981,18,1,0.34154,-0.408263817657578,-0.099403900265235
660400,1981,20,2,0.37001,-0.331826861330386,-0.0150651965917525
660500,1981,18,2,0.2518,-0.668836155962955,-0.354228908058352
660600,1981,21,2,0.35221,-0.379360740562567,-0.146054514763636
660700,1981,16,1,0.84381,1.01024066693342,1.35784660084087
660800,1981,19,1,0.7073,0.545514079172023,0.829309676517736
660900,NA,NA,NA,NA,NA,NA
661000,1981,21,2,0.25539,-0.65762364036224,-0.430255310160698
661100,1981,20,2,0.27305,-0.603614455285766,-0.295835835210128
661200,1981,18,2,0.41994,-0.202046975844052,0.141421498635279
661300,1981,16,2,0.82793,0.946016834270811,1.15976547459868
661400,1981,16,2,0.79924,0.838909671734498,1.04971523629128
661500,1981,20,2,0.32506,-0.453595490244625,-0.140858486882802
661600,1981,22,2,0.57237,0.18241124706412,0.41829261331706
661700,1981,16,1,0.60222,0.259097517713145,0.616986435274381
661800,1981,23,2,0.33451,-0.427493388056638,-0.199865125117634
661900,1981,17,2,0.82213,0.923512863427575,1.27224507244797
662000,1981,16,1,0.11465,-1.20216398485117,-0.824270720368348
662100,1981,21,2,0.02013,-2.0510713386554,-1.85343800711463
662200,1981,20,2,0.36167,-0.353998509838515,-0.0379696559905563
662300,1981,18,1,0.30051,-0.522934263161754,-0.205161468874425
662400,1981,17,1,0.44477,-0.138886296275079,0.15045720744037
662500,1981,17,1,0.15306,-1.02339737508143,-0.686709671534436
662600,1981,19,1,0.70343,0.534291315126485,0.818848312639704
662700,1981,23,2,0.993,2.45726339020544,2.60826031191033
662800,1981,23,2,0.35159,-0.381031331376435,-0.154637297176134
662900,1981,20,2,0.08815,-1.35223547049413,-1.06920005490919
663000,1981,18,2,0.31752,-0.474645036611027,-0.148031096749707
663100,1981,24,2,0.75132,0.678649454013466,0.88651334621789
663200,1981,22,1,0.80871,0.873152429005461,1.00216120252148
663300,1981,18,1,0.95153,1.65987302069556,1.8079849008654
663400,1981,20,1,0.0296,-1.88670510997243,-1.48452608258864
663500,1981,16,1,0.10567,-1.24988926890396,-0.871342655833327
663600,1981,21,2,0.22784,-0.745979166876272,-0.520496269092312
663700,1981,16,2,0.42125,-0.198696707126716,-0.0164023468744178
663800,1981,23,2,0.07797,-1.41885943748708,-1.16489629924965
663900,1981,23,2,0.33613,-0.423048329650922,-0.195538146263739
664000,1981,22,1,0.36081,-0.356294537123271,-0.216472891814448
664100,1981,21,2,0.31928,-0.469713110180321,-0.238334927746686
