"SubjectTag","Score","Age"
127101,NA,NA
127701,112,8
127901,125,10
127902,118,9
127903,113,10
128601,92,9
128602,100,9
129001,79,13
129002,100,9
129301,100.5,13
129302,86,10
129303,83,10
129501,85,9
129502,88,9
129503,65,9
129504,65,6
129601,97,9
129602,99,9
129701,94.5,11
129702,91,9
129703,89,9
129801,NA,NA
129802,NA,NA
130201,NA,NA
130401,107,9
130402,105,7
130403,104,6
130501,119.5,8
130502,113,5
130601,105,9
130602,109.5,8
130603,108.5,7.5
130604,108,7
130801,74.5,13
130802,83,6
130803,87,11
131001,116,10
131002,116,9
131003,108,8
131201,100,12
131301,85,9
131302,97,9
132201,93,7
132301,126,9
132302,120,10
132401,112,10
132402,87,10
132403,104,10
132404,105,9
132405,102.5,7
132601,114,8
132602,113,7
132701,111,10
132702,100,9
132801,101,8
132802,113.5,7
133501,100,9
133601,106,6
133602,102.5,6
133603,101,6
133604,NA,NA
134101,113.5,10
134102,NA,NA
134103,100,8
134301,90,10
134302,81,10
134701,NA,NA
135201,93,9
135202,110.5,9
135203,105,9
135601,98,9
135602,107,9
135901,135,11
135902,104,9
135903,114.5,9
136001,89,9
136101,103.5,8
136102,104.5,11
136201,116,9
136202,125,9
136601,82,8.5
137001,115,9
137401,102,10
137402,104.5,9
137501,96,8
137502,100,9
137601,85,13
137602,86,10
137603,97.5,9.5
137701,98.5,8.5
137702,93,10
137801,92,9
138101,85,9
138102,77,8
138103,82,11
138201,NA,NA
138501,106,8
138801,105,7
138802,65,6
138803,NA,NA
138804,NA,NA
138901,104,9
138902,104,9
139101,96,13
139102,72,10
139103,93,10
139401,102,10
139402,98,10
139801,NA,NA
139802,116,9
139901,108.5,9
139902,126,10
140001,NA,NA
140002,NA,NA
140003,NA,NA
140004,89,8
140101,82,13
140102,93,10
140103,82,9
140104,84.5,11
140105,89,6
140106,NA,NA
140107,86,8
140201,135,9
140601,93.5,11
140602,97,8
140603,77,6
140604,90,8
140605,98,8
140606,82,7
140701,NA,NA
140901,107,9
140902,96,10
141001,111,10
141002,118.5,9
141101,105,8
141201,94,10
141401,87,12
141402,79.5,12
141403,92,10
141404,103,8
141405,96.5,9
141501,87,12
141502,74.5,10
141503,79,9
141504,73.5,9
141505,77,8
141506,80,9
141507,NA,NA
141601,105,10
141602,98,9
141603,99,8
141901,88,9
141902,89,9
142101,NA,NA
142102,NA,NA
142301,99.5,11
142302,96.5,9
142303,128,10
142304,108,9
142305,108,9
142601,118,7
143501,90,8
143502,77,10
143503,98.5,10
143601,65,9
143602,83,9
143603,90.5,9
143701,96,9
143702,76,8
143703,86,7
143801,97,11
143802,93,9
143803,80,9
143901,105,10
144001,98,10
144002,102,9
144003,88,10
144004,101,9
144201,93,9
144202,92,9
144301,116,9
144302,114,9
144303,NA,NA
144601,103,9
144602,92,9
144603,95,10
145101,99,9
145102,90,10
145103,72,10
145401,100,9.5
145402,97,9
145501,NA,NA
145502,86,12
145503,88,14
145504,84,11
145901,107,9
146001,NA,NA
146002,NA,NA
146003,NA,NA
146501,105.5,10
146701,98,5
146901,101.5,11.5
146902,105,9.5
146903,97,10
147001,104,14
147002,NA,NA
147401,104,9
147402,109.5,10
147801,NA,NA
147802,NA,NA
148201,89.5,11
148202,103,12
148203,79,11
148401,102,9
148901,89,9
148902,77,7
148903,84,7
148904,84,10
149001,84,9
149101,93,10
149102,91,9
149301,104,9
149302,95,9
149401,112,9
149402,114,8
149403,102,7
149501,101,12
149502,95.5,9
149801,107,9
149802,97,9
149901,102,9
149902,105,9
150201,118,9
150202,125,9
150203,117,9
150204,112.5,6
150701,NA,NA
150702,97,9
151201,110.5,10
151202,113,9
151701,69,12
151702,81,8
151703,75,6
151901,76,9
151902,89,9
151903,78,8
152201,109,10
152401,80.5,11
152402,87,10
152403,102.5,9
152501,107,12
152502,NA,NA
152503,113,6
152504,NA,NA
152505,98,9
153101,NA,NA
153201,105,10
153202,95,10
153203,129,8
153204,69,8
153301,88,9.5
153302,101,9
153401,95.5,9
153402,105,10
153801,98.5,8
153802,98.5,11
153901,104,9
153902,107,10
154001,NA,NA
154101,100,8
154102,86.5,9
154401,91,9
154402,114,11
154403,80,5
154601,NA,NA
154602,102,9
154603,95,10
154801,94.5,11
154802,97.5,9.5
154901,93,8
154902,96,10
154903,98,9
154904,90,9
155101,104,10
155102,100.5,9
155201,102,11
155301,114.5,9
155801,90,9
155901,105,10
155902,83,9
156201,90,8
156401,125,8
156402,131,6
156601,109,10
156602,112,10
156603,115.5,10
156604,113,9
156605,119,9
157101,108,10
157102,95,9
157901,100,10
158101,112,9
158102,87,10
158301,107,13
158302,116,11
158401,97,10
158402,119,8
158701,114,10
158702,123,10
159201,116,9
159202,94,8
159301,105,9
159302,100,9
159601,85.5,10
159602,81,10
159603,86,10
159604,69,10
159605,72,10
159606,74,10
159607,89,9
159801,97,10
159802,96,9
159901,102.5,9
160001,93,13.5
160002,100.5,12
160003,101,11
160004,99,9
160501,104.5,6
160502,NA,NA
160601,NA,NA
160602,NA,NA
160801,100,12
160901,96,12
160902,92,9
161001,102,11
161002,109,8
161601,107,10
161602,115,10
161701,98,10
161702,100,10
161703,93,10
162301,65,10
162501,116,8
162502,106,5
162901,108,10
162902,105,9
163401,97,10
163801,96,9
163802,98,8
163803,90,5
163804,NA,NA
163901,118,9
163902,119.5,9
163903,123.5,8
163904,108,7
164001,96,11
164002,103.5,9
164201,79,10
164202,100,9
164203,102.5,9
164801,84.5,10
164802,NA,NA
164803,NA,NA
164901,77,10
164902,69,9
164903,77.5,6
164904,65,5
165001,92.5,9
165002,95,5
165003,109,12
165004,118,10
165005,96,8
165006,96,6
165201,123.5,9
165501,88,10
165502,95,9
165601,104,9
165602,106.5,9.5
165701,80,9
165702,98,9
165801,112,9
165802,104.5,7
166101,116,5
166201,93,10
166202,118,5
166601,99,9
166602,96,10
166603,81.5,9
167101,100,7
167102,102,7
167401,99,11.5
167402,105,8
167403,104,7
167501,123,9
167502,135,10
167503,114.5,8
167504,114,7
167601,126,9
167602,135,10
168301,117.5,10
168501,NA,NA
168901,NA,NA
168902,NA,NA
168903,NA,NA
169001,107,11
169002,89,10
169003,103,9
169004,97,8
169101,NA,NA
169102,NA,NA
169901,112,6.5
169902,NA,NA
170401,108,7
170402,110,6
170403,93,9
170404,92,8
170405,121,9
170501,NA,NA
170502,NA,NA
170503,NA,NA
171401,92.5,9
171601,NA,NA
171602,NA,NA
171901,94,9
172001,85,10
172201,NA,NA
172202,NA,NA
172203,NA,NA
172301,NA,NA
172302,83.5,12.5
172303,92,11
172501,100,9
172502,114,9
172601,NA,NA
172602,NA,NA
172603,NA,NA
172701,NA,NA
172702,NA,NA
172901,NA,NA
172902,NA,NA
172903,NA,NA
173001,89,10
173201,103,8
173202,98,8.5
173301,108.5,9
173302,123.5,10
173401,101,8
173402,114,7
173501,93,9
173502,103,10
173503,103.5,8
173601,NA,NA
173602,NA,NA
173701,96,5
173801,NA,NA
174001,121,7
174002,128,6
174501,93,8
174502,116,7
174503,108,6
174701,113,12
174702,108.5,10.5
174901,73,7
175101,105,10
175201,108.5,9.5
175202,NA,NA
175401,103,10
175402,NA,NA
175403,NA,NA
175404,102,10
175405,84,8.5
175406,82.5,10
175407,NA,NA
175701,NA,NA
175702,NA,NA
175801,92,10
175802,97,9
176001,107,12
176002,107,10
176003,107,8
176601,107,10
176801,71,8
176901,84,10
176902,94,9
177001,87.5,10
177002,102,9
177501,112,9
177502,98,6
177601,112,9
177602,101.5,9.5
177801,109,10
177802,116,9
178501,106,10
178502,105,9
178503,102,9
178601,125,10
178602,102,10
178603,117,9
178604,117,8
178901,112,9
178902,114,10
178903,121,10
179401,94,9
179402,92.5,9.5
179501,102.5,13
179502,97,10
179701,95,10
179901,NA,NA
180101,NA,NA
180301,123,9
180302,118,8
180401,111,10
180402,131,9
180403,116,10
180801,122,10
180802,125,9
181401,98,12
181402,NA,NA
181501,84,13
181502,117,11
181601,91.5,8
181602,106.5,6
181603,NA,NA
181604,94,9.5
