"SubjectTag","ExtendedID","Generation","Gender","Mob","HeightInchesLateTeens","WeightPoundsLateTeens","AfqtRescaled2006","AfqtRescaled2006Gaussified","Yob","HeightZGender","HeightZGenderYob","WeightZGender","WeightZGenderYob","BmiLateTeens","Afi","Afm"
213600,2136,1,2,1958-11-15,62,120,0.551029980182648,0.128264017617578,1958,-0.789739089357928,-0.894576828427504,-0.465596327154643,-0.50880153664825,21.945889698231,NA,12
213700,2136,1,2,1960-07-15,64,127,0.580690026283264,0.203659046651148,1960,-0.0636905818208312,-0.093696325514168,-0.175920850734291,-0.261241221778911,21.797119140625,19,13
213800,2136,1,1,1962-01-15,73,175,0.718400001525879,0.578094978709411,1962,0.983551596527705,1.0167447292736,0.414701200753368,0.522394438579665,23.0859448301745,NA,NA
213900,2139,1,2,1958-12-15,65,135,0.730260014533997,0.613599565207517,1958,0.299333671947717,0.210989563976025,0.155136836603254,0.0886140919547362,22.4627218934911,26,13
214000,2140,1,2,1963-11-15,68,145,0.408890008926392,-0.23040121405179,1963,1.38840643325336,1.33404568909044,0.568958945775185,0.759442322106187,22.0447664359862,18,13
214100,2141,1,1,1964-08-15,68,170,0.153549998998642,-1.02132602974131,1964,-0.626537585021909,-0.447361810122673,0.228524966430793,0.66478481527735,25.8455882352941,17,NA
214200,2142,1,2,1960-02-15,70,145,0.449999988079071,-0.12566137697327,1960,2.11445494079046,2.10134020487306,0.568958945775185,0.434144079455052,20.8030612244898,16,12
214300,2143,1,1,1961-10-15,67,140,0.350410014390945,-0.384213748915005,1961,-0.948555421331831,-0.996082488988471,-0.888532439504658,-0.932416480781964,21.9247048340388,15,NA
214400,2144,1,1,1959-09-15,72,160,0.940789997577667,1.56143985318613,1959,0.661533760217782,0.655934375527377,-0.143827502214357,-0.240921358226022,21.6975308641975,17,NA
214500,2145,1,1,1957-10-15,68,140,0.611720025539398,0.283804835138167,1957,-0.626537585021909,-0.788228795192902,-0.888532439504658,-1.1049649206841,21.2846020761246,17,NA
214600,2146,1,2,1959-07-15,64,230,0.55690997838974,0.143139457473104,1959,-0.0636905818208312,-0.035929589654322,4.0864468737366,4.0820868351152,39.47509765625,NA,11
214700,2147,1,1,1961-05-15,74,193,0.772019982337952,0.745515680626107,1961,1.30556943283763,1.3185454072344,1.08493564431464,1.12962446630005,24.777027027027,16,NA
214800,2148,1,2,1962-01-15,69,165,0.637510001659393,0.351811015762407,1962,1.75143068702191,1.85412755515183,1.39660316411905,1.54676112116921,24.3635790800252,16,13
214900,2148,1,1,1963-08-15,74,163,0.90353000164032,1.30193093376429,1963,1.30556943283763,1.3139148130403,-0.0321217616208125,0.196515037355196,20.9256756756757,14,NA
215000,2150,1,2,1962-09-15,61,118,0.216930001974106,-0.7826034686785,1962,-1.15276334312648,-1.11326363950878,-0.54836074898903,-0.473666296474538,22.2934694974469,NA,13
215100,2151,1,1,1963-05-15,78,220,0.837189972400665,0.982974365679686,1963,2.59364077807732,2.55186452982345,2.09028730965654,2.53202681355871,25.4207758053912,NA,NA
215200,2152,1,2,1959-10-15,63,180,0.467209994792938,-0.0822851165109259,1959,-0.42671483558938,-0.3824229887345,2.01733632787695,1.9945401426077,31.8820861678005,22,14
215300,2152,1,2,1962-04-15,64,140,0.372090011835098,-0.326322953306642,1962,-0.0636905818208312,-0.000491941511051274,0.36204789118922,0.472065686252323,24.0283203125,17,13
215400,2154,1,2,1959-12-15,62,113,0.950479984283447,1.64952546113675,1959,-0.789739089357928,-0.728916387814677,-0.755271803574995,-0.802772425352348,20.6657127991675,16,12
215500,2155,1,2,1960-11-15,66,150,0.818400025367737,0.909284539689618,1960,0.662357925716266,0.63798251794824,0.775870000361151,0.627306663131153,24.2079889807163,19,12
215600,2155,1,2,1964-06-15,65,140,0.532649993896484,0.0819329751476392,1964,0.299333671947717,0.328515614794993,0.36204789118922,0.682757720258045,23.294674556213,18,15
215700,2157,1,1,1957-11-15,76,180,0.379009991884232,-0.30808193913478,1957,1.94960510545747,1.86668057260731,0.600877435075943,0.35513759222121,21.9078947368421,22,NA
215800,2158,1,2,1957-04-15,67,130,0.638719975948334,0.355039435327762,1957,1.02538217948481,1.04445618249547,-0.0517742179827118,-0.187319454491277,20.3586544887503,17,11
215900,2159,1,1,1959-02-15,74,210,0.663429975509644,0.421842408477469,1959,1.30556943283763,1.32168429473538,1.71793484101139,1.59442375272329,26.9594594594595,17,NA
216000,2160,1,1,1963-07-15,69,165,0.0266999993473291,-1.93167203361322,1963,-0.304519748711986,-0.233522332938638,0.0423487321082175,0.278462818976372,24.3635790800252,19,NA
216100,2161,1,2,1959-04-15,67,165,0.758880019187927,0.702704437579424,1959,1.02538217948481,1.00355060758621,1.39660316411905,1.36827613485545,25.83983069726,17,13
