"SubjectTag_S1","SubjectTag_S2","ExtendedID","RelationshipPath","EverSharedHouse","R","RFull","IsMz","LastSurvey_S1","LastSurvey_S2","RImplicitPass1","RImplicit","RImplicit2004","RExplicit","RExplicitPass1","RPass1","RExplicitOlderSibVersion","RExplicitYoungerSibVersion","Generation_S1","Generation_S2","SubjectID_S1","SubjectID_S2","MathStandardized_S1","HeightZGenderAge_S1","MathStandardized_S2","HeightZGenderAge_S2"
17501,17502,175,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,17501,17502,119,0.170937007966158,104,0.515390182481005
17501,17503,175,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,17501,17503,119,0.170937007966158,131,-0.829210626116616
17501,17504,175,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,17501,17504,119,0.170937007966158,NA,0.989967122592301
17502,17503,175,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,17502,17503,104,0.515390182481005,131,-0.829210626116616
17502,17504,175,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,17502,17504,104,0.515390182481005,NA,0.989967122592301
17503,17504,175,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,17503,17504,131,-0.829210626116616,NA,0.989967122592301
17901,17902,179,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,17901,17902,96,-1.66495479664488,100,-0.205724056306393
18001,18002,180,"Gen2Siblings",TRUE,0.5,0.5,"No",2008,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,18001,18002,115,0.573494841913946,102,-0.1624455367281
18001,18003,180,"Gen2Siblings",TRUE,0.5,0.5,"No",2008,2002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,18001,18003,115,0.573494841913946,111,0.0188840227604028
18002,18003,180,"Gen2Siblings",TRUE,0.5,0.5,"No",2006,2002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,18002,18003,102,-0.1624455367281,111,0.0188840227604028
18301,18302,183,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2006,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,18301,18302,108.5,0.250239829406562,103,0.576619436937051
18301,18303,183,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,18301,18303,108.5,0.250239829406562,108,1.19363737260506
18302,18303,183,"Gen2Siblings",TRUE,0.5,0.5,"No",2006,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,18302,18303,103,0.576619436937051,108,1.19363737260506
