CID,MID,CRace,CGender,height,ageht,yearht,weight,agewt,yearwt,age_ht,age_wt,htst,wtst
1121703,11217,3,1,,,,,,,,,,
1122201,11222,1,1,,,,,,,,,,
1122501,11225,3,1,,,,,,,,,,
1122803,11228,3,1,,,,,,,,,,
1124301,11243,3,1,,,,,,,,,,
1126101,11261,3,1,,,,,,,,,,
1126203,11262,3,1,,,,,,,,,,
1126801,11268,3,1,,,,,,,,,,
1126901,11269,3,1,,,,,,,,,,
1127601,11276,2,1,,,,,,,,,,
1127801,11278,3,1,,,,,,,,,,
1128401,11284,3,1,,,,,,,,,,
1129801,11298,3,1,,,,,,,,,,
1129901,11299,3,1,,,,,,,,,,
1130401,11304,3,1,,,,,,,,,,
1130402,11304,3,1,,,,,,,,,,
1131001,11310,3,1,,,,,,,,,,
1131302,11313,3,1,,,,,,,,,,
1131303,11313,3,1,,,,,,,,,,
1132101,11321,3,1,,,,,,,,,,
1132701,11327,3,1,,,,,,,,,,
1134101,11341,2,1,,,,,,,,,,
1134102,11341,2,1,,,,,,,,,,
1134301,11343,3,1,,,,,,,,,,
1134302,11343,3,1,,,,,,,,,,
1134601,11346,3,1,,,,,,,,,,
1135501,11355,3,1,,,,,,,,,,
1135701,11357,3,1,,,,,,,,,,
1135802,11358,3,1,,,,,,,,,,
1136501,11365,3,1,,,,,,,,,,
1136601,11366,3,1,,,,,,,,,,
1138001,11380,3,1,,,,,,,,,,
1138901,11389,3,1,,,,,,,,,,
1140001,11400,3,1,,,,,,,,,,
1140201,11402,3,1,,,,,,,,,,
1140202,11402,3,1,,,,,,,,,,
1140901,11409,3,1,,,,,,,,,,
1141101,11411,3,1,,,,,,,,,,
1141102,11411,3,1,,,,,,,,,,
1141201,11412,2,1,,,,,,,,,,
1144501,11445,3,1,,,,,,,,,,
1145401,11454,3,1,,,,,,,,,,
1145502,11455,3,1,,,,,,,,,,
1145601,11456,2,1,,,,,,,,,,
1145602,11456,2,1,,,,,,,,,,
1146801,11468,3,1,,,,,,,,,,
1146802,11468,3,1,,,,,,,,,,
1146803,11468,3,1,,,,,,,,,,
1147102,11471,3,1,,,,,,,,,,
1148502,11485,2,1,,,,,,,,,,
1148601,11486,3,1,,,,,,,,,,
1148602,11486,3,1,,,,,,,,,,
1148603,11486,3,1,,,,,,,,,,
1149102,11491,2,1,,,,,,,,,,
1149201,11492,3,1,,,,,,,,,,
1149202,11492,3,1,,,,,,,,,,
1150301,11503,3,1,,,,,,,,,,
1150302,11503,3,1,,,,,,,,,,
1151201,11512,3,1,,,,,,,,,,
1152901,11529,3,1,,,,,,,,,,
1153101,11531,3,1,,,,,,,,,,
1153301,11533,3,1,,,,,,,,,,
1153801,11538,3,1,,,,,,,,,,
1154901,11549,3,1,,,,,,,,,,
1155401,11554,2,1,,,,,,,,,,
1155701,11557,3,1,,,,,,,,,,
1156402,11564,3,1,,,,,,,,,,
1157001,11570,3,1,,,,,,,,,,
1157301,11573,3,1,,,,,,,,,,
1157601,11576,3,1,,,,,,,,,,
1157602,11576,3,1,,,,,,,,,,
1163301,11633,3,1,,,,,,,,,,
1164001,11640,3,1,,,,,,,,,,
1164003,11640,3,1,,,,,,,,,,
1164101,11641,3,1,,,,,,,,,,
1164102,11641,3,1,,,,,,,,,,
1164501,11645,2,1,,,,,,,,,,
1164702,11647,2,1,,,,,,,,,,
1165001,11650,3,1,,,,,,,,,,
1170601,11706,3,1,,,,,,,,,,
1170802,11708,3,1,,,,,,,,,,
1172501,11725,3,1,,,,,,,,,,
1172503,11725,3,1,,,,,,,,,,
1173101,11731,3,1,,,,,,,,,,
1173102,11731,3,1,,,,,,,,,,
1173401,11734,3,1,,,,,,,,,,
1174701,11747,3,1,,,,,,,,,,
1178601,11786,1,1,,,,,,,,,,
1185302,11853,3,1,,,,,,,,,,
1185901,11859,2,1,,,,,,,,,,
1187702,11877,3,1,,,,,,,,,,
1188501,11885,1,1,,,,,,,,,,
1190301,11903,1,1,,,,,,,,,,
1195902,11959,3,1,,,,,,,,,,
1196202,11962,3,1,,,,,,,,,,
1198601,11986,3,1,,,,,,,,,,
1199501,11995,3,1,71,,2008,,,,,,,
1199502,11995,3,1,60,,2008,,,,,,,
1199503,11995,3,1,53,,2008,,,,,,,
