"","Subject2Tag","Subject1Tag","R","MultipleBirth","Race_1","Gender_1","HtSt19to25_1","AgeHt_1","Bmi_1","Afi_1","Afm_1","Afd_1","MathStd_1","ReadRecStd_1","Race_2","Gender_2","HtSt19to25_2","AgeHt_2","Bmi_2","Afi_2","Afm_2","Afd_2","MathStd_2","ReadRecStd_2"
"9287",953703,953702,0.5,0,1,2,0.858253252,25,25.05680553,16,9,17,106,75,1,1,0.869004566,24,25.0647401,15,NA,14,86,69
"9288",953704,953701,0.25,0,1,1,0.542276012,27,31.59702932,NA,NA,16,97,79,1,2,0.510561207,22,28.88820018,14,9,14,88,103
"9289",953704,953702,0.25,0,1,2,0.858253252,25,25.05680553,16,9,17,106,75,1,2,0.510561207,22,28.88820018,14,9,14,88,103
"9290",953704,953703,0.5,0,1,1,0.869004566,24,25.0647401,15,NA,14,86,69,1,2,0.510561207,22,28.88820018,14,9,14,88,103
"9291",954202,954201,0.25,0,2,2,-1.923283107,27,35.34185579,13,13,NA,89,105,2,2,0.858253252,25,29.75495656,16,13,16,93,100
"9292",954203,954201,0.25,0,2,2,-1.923283107,27,35.34185579,13,13,NA,89,105,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"9293",954203,954202,0.25,0,2,2,0.858253252,25,29.75495656,16,13,16,93,100,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"9294",954204,954201,0.25,0,2,2,-1.923283107,27,35.34185579,13,13,NA,89,105,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"9295",954204,954202,0.25,0,2,2,0.858253252,25,29.75495656,16,13,16,93,100,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"9296",954204,954203,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"9297",955402,955401,0.5,0,2,2,-0.532514927,29,63.76417234,14,11,15,108,99,2,2,1.205945297,28,44.84969723,17,13,15,100,92
"9298",955403,955401,0.5,0,2,2,-0.532514927,29,63.76417234,14,11,15,108,99,2,2,0.858253252,24,34.4531076,17,11,13,95,95
"9299",955403,955402,0.5,0,2,2,1.205945297,28,44.84969723,17,13,15,100,92,2,2,0.858253252,24,34.4531076,17,11,13,95,95
"9300",955602,955601,0.5,0,2,1,1.19573312,32,29.52702703,16,NA,12,89,74,2,2,1.553637342,29,23.92060492,18,14,17,92,105
"9301",955702,955701,0.25,0,2,2,-1.923283107,29,27.33888889,16,10,17,75,106,2,2,NA,18,27.79812695,NA,13,17,101,93
"9302",955802,955801,0.25,0,2,2,-0.184822883,25,33.46801758,14,11,14,72,88,2,2,NA,17,27.40588104,14,11,16,89,86
"9303",956702,956701,0.25,0,2,2,1.553637342,23,42.6731779,14,13,NA,95,105,2,2,-1.575591062,19,32.22083333,16,11,15,92,74
"9304",956802,956801,0.5,0,2,1,0.215547459,19,23.01031541,15,NA,15,96,102,2,1,NA,17,26.54183674,NA,NA,12,88,115
"9305",956803,956801,0.5,0,2,1,0.215547459,19,23.01031541,15,NA,15,96,102,2,1,NA,15,20.6721277,NA,NA,14,111,135
"9306",956803,956802,0.5,0,2,1,NA,17,26.54183674,NA,NA,12,88,115,2,1,NA,15,20.6721277,NA,NA,14,111,135
"9307",957402,957401,0.5,0,1,1,0.215547459,32,27.89129141,16,NA,16,103,84,1,1,-1.418095311,29,22.8049308,15,NA,12,98,107
