"","Subject2Tag","Subject1Tag","R","MultipleBirth","Race_1","Gender_1","HtSt19to25_1","AgeHt_1","Bmi_1","Afi_1","Afm_1","Afd_1","MathStd_1","ReadRecStd_1","Race_2","Gender_2","HtSt19to25_2","AgeHt_2","Bmi_2","Afi_2","Afm_2","Afd_2","MathStd_2","ReadRecStd_2"
"1400",158102,158101,0.5,0,3,1,0.542276012,25,22.3755787,15,NA,14,100,107,3,2,NA,NA,NA,NA,NA,NA,87,103
"1401",158302,158301,0.5,0,3,2,1.553637342,31,31.00819156,18,14,17,110,108,3,1,0.215547459,29,25.10216227,14,NA,15,116,103
"1402",158402,158401,0.25,0,3,2,-0.184822883,24,24.88647461,17,14,14,97,122,3,1,0.542276012,20,22.3755787,13,NA,11,119,118
"1403",158702,158701,0.5,0,3,1,0.542276012,22,21.01948303,NA,NA,15,112,120,3,2,NA,17,23.62745562,NA,12,13,126,135
"1404",159202,159201,0.25,0,3,2,0.510561207,22,37.11891644,18,14,18,116,121,3,1,NA,NA,NA,NA,NA,NA,94,102
"1405",159302,159301,0.5,0,3,2,1.205945297,21,19.30817474,15,13,12,106,100,3,2,0.510561207,21,27.43572085,14,11,14,101,99
"1406",159602,159601,0.5,0,3,2,1.553637342,29,33.44723183,16,15,16,82,89,3,2,1.553637342,28,40.17142857,17,14,16,87,95
"1407",159603,159601,0.5,0,3,2,1.553637342,29,33.44723183,16,15,16,82,89,3,2,1.205945297,26,30.40657439,17,13,16,86,75
"1408",159603,159602,0.5,0,3,2,1.553637342,28,40.17142857,17,14,16,87,95,3,2,1.205945297,26,30.40657439,17,13,16,86,75
"1409",159604,159602,0.5,0,3,2,1.553637342,28,40.17142857,17,14,16,87,95,3,1,0.542276012,24,35.25848765,16,NA,14,69,65
"1410",159604,159601,0.5,0,3,2,1.553637342,29,33.44723183,16,15,16,82,89,3,1,0.542276012,24,35.25848765,16,NA,14,69,65
"1411",159604,159603,0.5,0,3,2,1.205945297,26,30.40657439,17,13,16,86,75,3,1,0.542276012,24,35.25848765,16,NA,14,69,65
"1412",159605,159602,0.5,0,3,2,1.553637342,28,40.17142857,17,14,16,87,95,3,2,0.162869162,21,33.27810651,15,13,15,69,65
"1413",159605,159603,0.5,0,3,2,1.205945297,26,30.40657439,17,13,16,86,75,3,2,0.162869162,21,33.27810651,15,13,15,69,65
"1414",159605,159601,0.5,0,3,2,1.553637342,29,33.44723183,16,15,16,82,89,3,2,0.162869162,21,33.27810651,15,13,15,69,65
"1415",159605,159604,0.5,0,3,1,0.542276012,24,35.25848765,16,NA,14,69,65,3,2,0.162869162,21,33.27810651,15,13,15,69,65
"1416",159606,159605,0.5,2,3,2,0.162869162,21,33.27810651,15,13,15,69,65,3,1,-3.378466634,22,48.81944444,14,NA,10,65,65
"1417",159606,159602,0.5,0,3,2,1.553637342,28,40.17142857,17,14,16,87,95,3,1,-3.378466634,22,48.81944444,14,NA,10,65,65
"1418",159606,159601,0.5,0,3,2,1.553637342,29,33.44723183,16,15,16,82,89,3,1,-3.378466634,22,48.81944444,14,NA,10,65,65
"1419",159606,159603,0.5,0,3,2,1.205945297,26,30.40657439,17,13,16,86,75,3,1,-3.378466634,22,48.81944444,14,NA,10,65,65
"1420",159606,159604,0.5,0,3,1,0.542276012,24,35.25848765,16,NA,14,69,65,3,1,-3.378466634,22,48.81944444,14,NA,10,65,65
"1421",159607,159602,0.5,0,3,2,1.553637342,28,40.17142857,17,14,16,87,95,3,1,0.215547459,20,34.86411426,15,NA,11,89,72
"1422",159607,159603,0.5,0,3,2,1.205945297,26,30.40657439,17,13,16,86,75,3,1,0.215547459,20,34.86411426,15,NA,11,89,72
"1423",159607,159604,0.5,0,3,1,0.542276012,24,35.25848765,16,NA,14,69,65,3,1,0.215547459,20,34.86411426,15,NA,11,89,72
"1424",159607,159601,0.5,0,3,2,1.553637342,29,33.44723183,16,15,16,82,89,3,1,0.215547459,20,34.86411426,15,NA,11,89,72
"1425",159607,159605,0.5,0,3,2,0.162869162,21,33.27810651,15,13,15,69,65,3,1,0.215547459,20,34.86411426,15,NA,11,89,72
"1426",159607,159606,0.5,0,3,1,-3.378466634,22,48.81944444,14,NA,10,65,65,3,1,0.215547459,20,34.86411426,15,NA,11,89,72
"1427",159802,159801,0.5,0,3,1,NA,16,31.27632653,NA,NA,15,97,119,3,1,NA,NA,21.48055556,NA,NA,NA,95,105
"1428",160002,160001,0.5,0,3,1,NA,34,25.7658179,NA,NA,13,86,94,3,1,-0.111181095,30,25.84015963,17,NA,17,97,102
"1429",160003,160001,0.25,0,3,1,NA,34,25.7658179,NA,NA,13,86,94,3,1,2.502647335,28,20.22107166,18,NA,11,96,101
"1430",160003,160002,0.25,0,3,1,-0.111181095,30,25.84015963,17,NA,17,97,102,3,1,2.502647335,28,20.22107166,18,NA,11,96,101
"1431",160004,160001,0.25,0,3,1,NA,34,25.7658179,NA,NA,13,86,94,3,2,0.510561207,27,23.40105602,14,14,14,99,106
"1432",160004,160002,0.25,0,3,1,-0.111181095,30,25.84015963,17,NA,17,97,102,3,2,0.510561207,27,23.40105602,14,14,14,99,106
"1433",160004,160003,0.5,0,3,1,2.502647335,28,20.22107166,18,NA,11,96,101,3,2,0.510561207,27,23.40105602,14,14,14,99,106
"1434",160502,160501,0.5,0,3,1,NA,11,25.93532986,NA,NA,NA,104,106,3,2,NA,15,24.02832031,NA,12,14,NA,NA
"1435",160602,160601,0.5,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"1436",160902,160901,0.5,0,3,1,0.869004566,32,26.38393695,20,NA,15,97,118,3,1,0.869004566,27,35.93653549,17,NA,16,100,92
"1437",161002,161001,0.5,0,3,2,-1.575591062,30,31.04916667,NA,10,18,102,93,3,2,0.162869162,28,24.95857988,NA,14,13,110,101
"1438",161602,161601,0.5,0,3,2,-0.184822883,28,24.02832031,20,12,16,108,95,3,1,0.542276012,25,24.40972222,17,NA,12,106,100
"1439",161702,161701,0.5,0,3,2,-0.880206972,25,29.26118626,15,15,16,97,105,3,1,-1.091366757,24,31.32100691,15,NA,14,93,104
"1440",161703,161701,0.5,0,3,2,-0.880206972,25,29.26118626,15,15,16,97,105,3,1,-0.437909649,21,22.14870826,15,NA,NA,93,65
"1441",161703,161702,0.5,0,3,1,-1.091366757,24,31.32100691,15,NA,14,93,104,3,1,-0.437909649,21,22.14870826,15,NA,NA,93,65
"1442",162502,162501,0.5,0,3,2,NA,NA,20.62372449,NA,NA,NA,116,97,3,1,NA,NA,NA,NA,NA,NA,106,82
"1443",162902,162901,0.5,0,3,1,1.19573312,23,25.03378378,NA,NA,14,102,118,3,1,1.19573312,19,22.46621622,NA,NA,14,109,106
"1444",163802,163801,0.5,0,3,1,NA,28,28.79332073,NA,NA,18,122,105,3,1,0.542276012,26,28.47800926,NA,NA,17,90,112
"1445",163803,163801,0.25,0,3,1,NA,28,28.79332073,NA,NA,18,122,105,3,2,0.510561207,21,20.17332415,16,13,15,90,98
"1446",163803,163802,0.25,0,3,1,0.542276012,26,28.47800926,NA,NA,17,90,112,3,2,0.510561207,21,20.17332415,16,13,15,90,98
"1447",163804,163801,0.25,0,3,1,NA,28,28.79332073,NA,NA,18,122,105,3,1,NA,18,20.34143519,NA,NA,14,NA,NA
"1448",163804,163802,0.25,0,3,1,0.542276012,26,28.47800926,NA,NA,17,90,112,3,1,NA,18,20.34143519,NA,NA,14,NA,NA
"1449",163804,163803,0.5,0,3,2,0.510561207,21,20.17332415,16,13,15,90,98,3,1,NA,18,20.34143519,NA,NA,14,NA,NA
"1450",163902,163901,0.5,0,3,1,NA,18,22.14870826,NA,NA,16,135,122,3,1,NA,16,24.40487998,NA,NA,14,135,135
"1451",163903,163901,0.5,0,3,1,NA,18,22.14870826,NA,NA,16,135,122,3,2,NA,NA,22.14038086,NA,12,NA,126,113
"1452",163903,163902,0.5,0,3,1,NA,16,24.40487998,NA,NA,14,135,135,3,2,NA,NA,22.14038086,NA,12,NA,126,113
"1453",163904,163901,0.5,0,3,1,NA,18,22.14870826,NA,NA,16,135,122,3,2,NA,NA,26.5401308,NA,11,NA,108,109
"1454",163904,163902,0.5,0,3,1,NA,16,24.40487998,NA,NA,14,135,135,3,2,NA,NA,26.5401308,NA,11,NA,108,109
"1455",163904,163903,0.5,0,3,2,NA,NA,22.14038086,NA,12,NA,126,113,3,2,NA,NA,26.5401308,NA,11,NA,108,109
"1456",164002,164001,NA,0,3,2,NA,17,22.59412305,13,11,12,90,98,3,1,NA,15,24.12662722,14,NA,10,101,98
"1457",164202,164201,0.5,0,1,2,-1.923283107,26,26.25395001,NA,11,14,84,106,1,1,-1.091366757,22,25.8398307,19,NA,14,100,135
"1458",164203,164201,0.5,0,1,2,-1.923283107,26,26.25395001,NA,11,14,84,106,1,2,NA,14,21.03147763,NA,10,12,87,103
"1459",164203,164202,0.5,0,1,1,-1.091366757,22,25.8398307,19,NA,14,100,135,1,2,NA,14,21.03147763,NA,10,12,87,103
"1460",164802,164801,0.5,0,3,1,NA,14,22.67170572,NA,NA,NA,65,65,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"1461",164803,164801,NA,0,3,1,NA,14,22.67170572,NA,NA,NA,65,65,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"1462",164803,164802,0.5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"1463",164902,164901,0.5,0,1,1,-0.437909649,24,25.84015963,NA,NA,NA,75,74,1,1,NA,NA,16.71819263,NA,NA,NA,65,78
"1464",164903,164901,0.25,0,1,1,-0.437909649,24,25.84015963,NA,NA,NA,75,74,1,2,NA,NA,NA,NA,NA,NA,90,93
"1465",164903,164902,0.25,0,1,1,NA,NA,16.71819263,NA,NA,NA,65,78,1,2,NA,NA,NA,NA,NA,NA,90,93
"1466",164904,164901,0.25,0,1,1,-0.437909649,24,25.84015963,NA,NA,NA,75,74,1,1,NA,NA,NA,NA,NA,NA,65,65
"1467",164904,164902,0.25,0,1,1,NA,NA,16.71819263,NA,NA,NA,65,78,1,1,NA,NA,NA,NA,NA,NA,65,65
"1468",164904,164903,0.5,0,1,2,NA,NA,NA,NA,NA,NA,90,93,1,1,NA,NA,NA,NA,NA,NA,65,65
"1469",165002,165001,0.25,0,1,2,-0.880206972,25,32.00442248,15,11,13,87,93,1,2,NA,NA,NA,NA,NA,NA,95,103
